,earliest division time (frame),earliest division {hours},centroid_x,centroid_y,v,rep,condition,labels,id,growth_rate
330,51.0,12.75,590.7557886969594,270.34305444927975,10,1,hypoxia 3.5 days,5,5_10_1,0.30486476532795603
332,51.0,12.75,506.6394347812698,888.9575273856447,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
24,26.0,6.5,366.3204489469826,423.59347112264817,11,1,hypoxia 5 days,4,4_11_1,0.25496359275833475
192,35.0,8.75,375.5423808375959,433.4301984726357,11,1,hypoxia 5 days,4,4_11_1,0.25496359275833475
194,35.0,8.75,701.575544894609,664.4731917060665,11,1,hypoxia 5 days,6,6_11_1,0.2773151916125511
225,37.0,9.25,293.7745847408244,558.8484721849769,11,1,hypoxia 5 days,3,3_11_1,0.2515423344511013
275,41.0,10.25,706.025494451228,673.3730908193047,11,1,hypoxia 5 days,6,6_11_1,0.2773151916125511
66,29.0,7.25,276.9893667308377,765.416648882921,12,1,hypoxia 5 days,1,1_12_1,0.27596025570746274
189,35.0,8.75,804.545376099222,609.0046313726262,12,1,hypoxia 5 days,3,3_12_1,0.28256201641621337
190,35.0,8.75,671.7495568743897,420.8772208041144,12,1,hypoxia 5 days,2,2_12_1,0.2659019717921584
214,36.0,9.0,285.3983094229211,783.1688612328749,12,1,hypoxia 5 days,1,1_12_1,0.27596025570746274
217,36.0,9.0,846.966262796042,616.9969723444912,12,1,hypoxia 5 days,3,3_12_1,0.28256201641621337
295,43.0,10.75,841.4331036616741,631.1372679100983,12,1,hypoxia 5 days,3,3_12_1,0.28256201641621337
348,61.0,15.25,820.5300580429505,637.9000179632147,12,1,hypoxia 5 days,3,3_12_1,0.28256201641621337
65,29.0,7.25,581.1153700843657,639.6666637106637,13,1,hypoxia 5 days,3,3_13_1,0.2828503936403964
67,29.0,7.25,269.5363071320469,1052.9038301064932,13,1,hypoxia 5 days,1,1_13_1,0.2748371039728817
90,31.0,7.75,772.8413996047723,393.3092992102488,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
124,32.0,8.0,523.3245969031889,855.4598699510155,13,1,hypoxia 5 days,2,2_13_1,0.2657249464861446
150,33.0,8.25,275.0461238354658,1034.8841602898908,13,1,hypoxia 5 days,1,1_13_1,0.2748371039728817
152,33.0,8.25,797.1248281304204,388.71513705674784,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
164,34.0,8.5,271.555166457658,1026.904829140616,13,1,hypoxia 5 days,1,1_13_1,0.2748371039728817
180,35.0,8.75,874.5574587759461,692.3786280383184,13,1,hypoxia 5 days,7,7_13_1,0.31118808908038853
185,35.0,8.75,579.270983706243,618.7636180919401,13,1,hypoxia 5 days,3,3_13_1,0.2828503936403964
196,35.0,8.75,259.58616973374546,1015.9332488103628,13,1,hypoxia 5 days,1,1_13_1,0.2748371039728817
221,37.0,9.25,721.7505585729754,376.45111044084825,13,1,hypoxia 5 days,4,4_13_1,0.2059934358268743
246,39.0,9.75,863.4002078317293,689.4252380824964,13,1,hypoxia 5 days,7,7_13_1,0.31118808908038853
258,40.0,10.0,730.1595012650588,373.64812954348713,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
263,40.0,10.0,782.0297239117742,361.4783185752776,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
271,41.0,10.25,778.7481795164164,346.71136879616733,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
311,46.0,11.5,267.66765320047284,1052.903830106493,13,1,hypoxia 5 days,1,1_13_1,0.2748371039728817
322,49.0,12.25,793.1869748559909,355.8996931031693,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
327,50.0,12.5,792.858820416455,438.5946118661872,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
329,51.0,12.75,789.905430460633,377.5578861125312,13,1,hypoxia 5 days,5,5_13_1,0.3344670610963977
337,55.0,13.75,488.2812557188582,844.3935516822796,13,1,hypoxia 5 days,2,2_13_1,0.2657249464861446
344,58.0,14.5,864.3846711503367,742.2581028477578,13,1,hypoxia 5 days,7,7_13_1,0.31118808908038853
346,58.0,14.5,563.9010972218874,635.363095495044,13,1,hypoxia 5 days,3,3_13_1,0.2828503936403964
92,31.0,7.75,601.7513429010038,181.5833101574883,14,1,hypoxia 5 days,3,3_14_1,0.3017325769914142
115,32.0,8.0,584.7952642087945,127.22411670305246,14,1,hypoxia 5 days,3,3_14_1,0.3017325769914142
167,34.0,8.5,414.9132118748356,900.3881007150767,14,1,hypoxia 5 days,4,4_14_1,0.31073561823847873
184,35.0,8.75,411.2244391185903,909.61003260569,14,1,hypoxia 5 days,4,4_14_1,0.31073561823847873
186,35.0,8.75,609.2319658534491,158.14402490649303,14,1,hypoxia 5 days,3,3_14_1,0.3017325769914142
187,35.0,8.75,593.7720117517288,139.19311342696494,14,1,hypoxia 5 days,3,3_14_1,0.3017325769914142
197,36.0,9.0,615.2164642154054,181.5833101574883,14,1,hypoxia 5 days,3,3_14_1,0.3017325769914142
240,38.0,9.5,416.7575982529583,939.1202146556526,14,1,hypoxia 5 days,4,4_14_1,0.31073561823847873
261,40.0,10.0,418.60198463108094,944.6533737900209,14,1,hypoxia 5 days,4,4_14_1,0.31073561823847873
286,42.0,10.5,372.4923251780143,903.4620780119478,14,1,hypoxia 5 days,4,4_14_1,0.31073561823847873
308,45.0,11.25,632.1725429076147,128.22153309671182,14,1,hypoxia 5 days,3,3_14_1,0.3017325769914142
316,47.0,11.75,374.9515070155112,910.2248280650643,14,1,hypoxia 5 days,4,4_14_1,0.31073561823847873
75,30.0,7.5,713.0332798792724,329.98697103338435,15,1,hypoxia 5 days,2,2_15_1,0.2985890442391521
93,31.0,7.75,919.1409132269744,1083.927896730759,15,1,hypoxia 5 days,5,5_15_1,0.30778893315306644
172,34.0,8.5,417.4496829686557,613.4518820300036,15,1,hypoxia 5 days,1,1_15_1,0.29460016819211654
260,40.0,10.0,741.9583552953943,328.49084644289525,15,1,hypoxia 5 days,2,2_15_1,0.2985890442391521
274,41.0,10.25,722.0627770943696,780.0214962550167,15,1,hypoxia 5 days,3,3_15_1,0.2826136305968014
278,41.0,10.25,937.5699642301196,1097.7496849831175,15,1,hypoxia 5 days,5,5_15_1,0.30778893315306644
293,43.0,10.75,428.7768272945952,604.956523785549,15,1,hypoxia 5 days,1,1_15_1,0.29460016819211654
320,48.0,12.0,927.2036230408504,1091.9906065446346,15,1,hypoxia 5 days,5,5_15_1,0.30778893315306644
345,58.0,14.5,884.4687890595875,406.83321344132446,15,1,hypoxia 5 days,4,4_15_1,0.2119854434772536
362,90.0,22.5,671.38288683572,766.1997080026576,15,1,hypoxia 5 days,3,3_15_1,0.2826136305968014
20,26.0,6.5,760.995664737415,571.8786715359996,16,1,hypoxia 5 days,5,5_16_1,0.27593205674779436
77,30.0,7.5,458.44141850114,1025.3234647826512,16,1,hypoxia 5 days,6,6_16_1,0.26249504999295314
129,32.0,8.0,228.3153130619283,716.919170025242,16,1,hypoxia 5 days,8,8_16_1,0.28403790352000147
132,32.0,8.0,314.41850052046584,1009.6345584350836,16,1,hypoxia 5 days,9,9_16_1,0.23373405845336404
158,33.0,8.25,193.0018441965761,908.7890175269888,16,1,hypoxia 5 days,1,1_16_1,0.3054950680827716
200,36.0,9.0,746.6610890958833,592.8292051659306,16,1,hypoxia 5 days,5,5_16_1,0.27593205674779436
229,37.0,9.25,540.4637317907733,823.2850750951712,16,1,hypoxia 5 days,7,7_16_1,0.2779627379603365
253,39.0,9.75,176.5222253927451,902.3148815683412,16,1,hypoxia 5 days,1,1_16_1,0.3054950680827716
259,40.0,10.0,221.8411771032804,686.9027214896928,16,1,hypoxia 5 days,8,8_16_1,0.28403790352000147
303,45.0,11.25,224.19540836097053,742.2271560454112,16,1,hypoxia 5 days,8,8_16_1,0.28403790352000147
304,45.0,11.25,910.9573791411314,822.182415430438,16,1,hypoxia 5 days,3,3_16_1,0.2891842047042741
305,45.0,11.25,214.77848333020995,735.7530200867633,16,1,hypoxia 5 days,8,8_16_1,0.28403790352000147
315,47.0,11.75,908.7520598116648,842.0302893956357,16,1,hypoxia 5 days,3,3_16_1,0.2891842047042741
338,56.0,14.0,431.9563168521258,1004.7239412778624,16,1,hypoxia 5 days,6,6_16_1,0.26249504999295314
5,23.0,5.75,809.694363119754,614.4037730519678,17,1,hypoxia 5 days,6,6_17_1,0.22574469414445786
