,level_0,index,axis-0,axis-1,axis-2,name,condition,time
17,17,17.0,>36.5,17.0,17.0,na,hypoxia 5 days,>32
18,18,18.0,>36.5,18.0,18.0,na,hypoxia 5 days,>32
19,19,19.0,>36.5,19.0,19.0,na,hypoxia 5 days,>32
20,20,20.0,>36.5,20.0,20.0,na,hypoxia 5 days,>32
21,21,21.0,>36.5,21.0,21.0,na,hypoxia 5 days,>32
22,22,22.0,>36.5,22.0,22.0,na,hypoxia 5 days,>32
23,23,23.0,>36.5,23.0,23.0,na,hypoxia 5 days,>32
24,24,24.0,>36.5,24.0,24.0,na,hypoxia 5 days,>32
25,25,25.0,>36.5,25.0,25.0,na,hypoxia 5 days,>32
26,26,26.0,>36.5,26.0,26.0,na,hypoxia 5 days,>32
27,27,27.0,>36.5,27.0,27.0,na,hypoxia 5 days,>32
28,28,28.0,>36.5,28.0,28.0,na,hypoxia 5 days,>32
29,29,29.0,>36.5,29.0,29.0,na,hypoxia 5 days,>32
30,30,30.0,>36.5,30.0,30.0,na,hypoxia 5 days,>32
31,31,31.0,>36.5,31.0,31.0,na,hypoxia 5 days,>32
32,32,32.0,>36.5,32.0,32.0,na,hypoxia 5 days,>32
33,33,33.0,>36.5,33.0,33.0,na,hypoxia 5 days,>32
34,34,34.0,>36.5,34.0,34.0,na,hypoxia 5 days,>32
35,35,35.0,>36.5,35.0,35.0,na,hypoxia 5 days,>32
36,36,36.0,>36.5,36.0,36.0,na,hypoxia 5 days,>32
37,37,37.0,>36.5,37.0,37.0,na,hypoxia 5 days,>32
38,38,38.0,>36.5,38.0,38.0,na,hypoxia 5 days,>32
39,39,39.0,>36.5,39.0,39.0,na,hypoxia 5 days,>32
40,40,40.0,>36.5,40.0,40.0,na,hypoxia 5 days,>32
41,41,41.0,>36.5,41.0,41.0,na,hypoxia 5 days,>32
42,42,42.0,>36.5,42.0,42.0,na,hypoxia 5 days,>32
43,43,43.0,>36.5,43.0,43.0,na,hypoxia 5 days,>32
44,44,44.0,>36.5,44.0,44.0,na,hypoxia 5 days,>32
45,45,45.0,>36.5,45.0,45.0,na,hypoxia 5 days,>32
46,46,46.0,>36.5,46.0,46.0,na,hypoxia 5 days,>32
47,47,47.0,>36.5,47.0,47.0,na,hypoxia 5 days,>32
48,48,48.0,>36.5,48.0,48.0,na,hypoxia 5 days,>32
49,49,49.0,>36.5,49.0,49.0,na,hypoxia 5 days,>32
